Gender,LearningStyle,Extracurricular,Internet,OnlineCourses,EduTech,Resources,FinalGrade,Age,StudyHours,Attendance,Motivation,Discussions,AssignmentCompletion,ExamScore,StressLevel,StudyHours_Category,Attendance_Category,StressLevel_Category,AssignmentCompletion_Category,StudyEfficiency,StudyStressBalance,EngagementScore,DigitalReadiness,DigitalReadiness_Label,RiskScore,RiskLevel
0,3,1,1,8,0,1,2,23,19,64,1,0,90,66,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Cukup Baik (75-90%),4.5,9.5,61.6,1,Sebagian,0.5241,Perhatian
0,1,1,1,11,1,1,0,28,19,64,1,0,67,99,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Perlu Perhatian (60-75%),3.35,9.5,52.4,2,Siap Digital,0.6621,Kritis
0,2,0,1,19,0,2,3,19,19,64,1,1,59,40,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Risiko Tinggi (<60%),2.95,9.5,49.4,1,Sebagian,0.7101,Kritis
0,3,0,1,8,0,2,2,23,19,64,1,0,90,66,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Cukup Baik (75-90%),4.5,9.5,61.6,1,Sebagian,0.5241,Perhatian
0,1,0,1,11,1,2,0,28,19,64,1,0,67,99,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Perlu Perhatian (60-75%),3.35,9.5,52.4,2,Siap Digital,0.6621,Kritis
1,0,1,1,14,1,1,3,29,24,98,1,0,65,46,2,Tinggi (20-30 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),2.6,8.0,65.2,2,Siap Digital,0.5238,Perhatian
1,0,1,1,0,1,1,1,27,24,98,1,1,71,83,0,Tinggi (20-30 jam),Sempurna (>90%),,Perlu Perhatian (60-75%),2.84,24.0,67.8,2,Siap Digital,0.3378,Perhatian
1,1,1,1,16,1,1,0,25,24,98,1,1,61,95,0,Tinggi (20-30 jam),Sempurna (>90%),,Perlu Perhatian (60-75%),2.44,24.0,63.8,2,Siap Digital,0.3978,Perhatian
1,0,0,1,14,1,0,3,29,24,98,2,0,65,46,2,Tinggi (20-30 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),2.6,8.0,65.2,2,Siap Digital,0.4238,Perhatian
1,0,0,1,0,1,0,1,27,24,98,2,1,71,83,0,Tinggi (20-30 jam),Sempurna (>90%),,Perlu Perhatian (60-75%),2.84,24.0,67.8,2,Siap Digital,0.2378,Aman
1,1,0,1,16,1,0,0,25,24,98,2,1,61,95,0,Tinggi (20-30 jam),Sempurna (>90%),,Perlu Perhatian (60-75%),2.44,24.0,63.8,2,Siap Digital,0.2978,Aman
1,0,0,1,14,1,0,3,29,24,98,1,0,65,46,2,Tinggi (20-30 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),2.6,8.0,65.2,2,Siap Digital,0.5238,Perhatian
1,0,0,1,0,1,0,1,27,24,98,1,1,71,83,0,Tinggi (20-30 jam),Sempurna (>90%),,Perlu Perhatian (60-75%),2.84,24.0,67.8,2,Siap Digital,0.3378,Perhatian
1,1,0,1,16,1,0,0,25,24,98,1,1,61,95,0,Tinggi (20-30 jam),Sempurna (>90%),,Perlu Perhatian (60-75%),2.44,24.0,63.8,2,Siap Digital,0.3978,Perhatian
1,0,1,1,14,1,1,3,29,24,98,2,0,65,46,2,Tinggi (20-30 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),2.6,8.0,65.2,2,Siap Digital,0.4238,Perhatian
1,0,1,1,0,1,1,1,27,24,98,2,1,71,83,0,Tinggi (20-30 jam),Sempurna (>90%),,Perlu Perhatian (60-75%),2.84,24.0,67.8,2,Siap Digital,0.2378,Aman
1,1,1,1,16,1,1,0,25,24,98,2,1,61,95,0,Tinggi (20-30 jam),Sempurna (>90%),,Perlu Perhatian (60-75%),2.44,24.0,63.8,2,Siap Digital,0.2978,Aman
1,0,0,0,14,1,0,3,29,24,98,0,0,65,46,2,Tinggi (20-30 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),2.6,8.0,65.2,1,Sebagian,0.6238,Kritis
1,0,0,0,0,1,0,1,27,24,98,0,1,71,83,0,Tinggi (20-30 jam),Sempurna (>90%),,Perlu Perhatian (60-75%),2.84,24.0,67.8,1,Sebagian,0.4378,Perhatian
1,1,0,0,16,1,0,0,25,24,98,0,1,61,95,0,Tinggi (20-30 jam),Sempurna (>90%),,Perlu Perhatian (60-75%),2.44,24.0,63.8,1,Sebagian,0.4978,Perhatian
1,0,1,1,9,1,1,3,20,29,89,1,1,75,54,2,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Perlu Perhatian (60-75%),2.5,9.6667,65.8,2,Siap Digital,0.5072,Perhatian
1,2,1,1,15,1,1,3,23,29,89,1,1,59,42,2,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Risiko Tinggi (<60%),1.9667,9.6667,59.4,2,Siap Digital,0.6032,Kritis
1,0,1,1,1,1,1,2,23,29,89,1,0,96,62,2,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Excellent (>90%),3.2,9.6667,74.0,2,Siap Digital,0.3812,Perhatian
1,0,1,1,9,1,0,3,20,29,89,0,1,75,54,2,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Perlu Perhatian (60-75%),2.5,9.6667,65.8,2,Siap Digital,0.6072,Kritis
1,2,1,1,15,1,0,3,23,29,89,0,1,59,42,2,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Risiko Tinggi (<60%),1.9667,9.6667,59.4,2,Siap Digital,0.7032,Kritis
1,0,1,1,1,1,0,2,23,29,89,0,0,96,62,2,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Excellent (>90%),3.2,9.6667,74.0,2,Siap Digital,0.4812,Perhatian
0,3,1,1,4,1,1,3,19,19,92,1,1,63,40,2,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.15,6.3333,62.2,2,Siap Digital,0.5861,Perhatian
0,2,1,1,14,1,1,0,26,19,92,1,0,86,94,2,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Cukup Baik (75-90%),4.3,6.3333,71.2,2,Siap Digital,0.4481,Perhatian
0,3,0,1,4,1,2,3,19,19,92,1,1,63,40,2,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.15,6.3333,62.2,2,Siap Digital,0.5861,Perhatian
0,2,0,1,14,1,2,0,26,19,92,1,0,86,94,2,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Cukup Baik (75-90%),4.3,6.3333,71.2,2,Siap Digital,0.4481,Perhatian
0,3,1,1,4,1,2,3,19,19,92,1,1,63,40,2,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.15,6.3333,62.2,2,Siap Digital,0.5861,Perhatian
0,2,1,1,14,1,2,0,26,19,92,1,0,86,94,2,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Cukup Baik (75-90%),4.3,6.3333,71.2,2,Siap Digital,0.4481,Perhatian
0,3,0,1,4,1,1,3,19,19,92,2,1,63,40,2,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.15,6.3333,62.2,2,Siap Digital,0.4861,Perhatian
0,2,0,1,14,1,1,0,26,19,92,2,0,86,94,2,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Cukup Baik (75-90%),4.3,6.3333,71.2,2,Siap Digital,0.3481,Perhatian
1,2,1,1,2,1,0,3,21,29,84,0,1,57,48,2,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Risiko Tinggi (<60%),1.9,9.6667,56.6,2,Siap Digital,0.7465,Kritis
1,2,1,1,6,1,0,2,28,29,84,0,0,74,60,0,Tinggi (20-30 jam),Baik (75-90%),,Perlu Perhatian (60-75%),2.4667,29.0,63.2,2,Siap Digital,0.4945,Perhatian
1,2,1,1,2,1,1,3,21,29,84,1,1,57,48,2,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Risiko Tinggi (<60%),1.9,9.6667,56.6,2,Siap Digital,0.6465,Kritis
1,2,1,1,6,1,1,2,28,29,84,1,0,74,60,0,Tinggi (20-30 jam),Baik (75-90%),,Perlu Perhatian (60-75%),2.4667,29.0,63.2,2,Siap Digital,0.3945,Perhatian
1,2,1,1,9,1,2,2,18,25,78,1,0,91,58,2,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Excellent (>90%),3.5,8.3333,67.6,2,Siap Digital,0.4902,Perhatian
1,2,1,1,9,1,0,2,18,25,78,1,0,91,58,2,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Excellent (>90%),3.5,8.3333,67.6,2,Siap Digital,0.4902,Perhatian
1,3,0,1,14,0,2,0,19,17,94,2,1,74,92,2,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),4.1111,5.6667,67.4,1,Sebagian,0.4127,Perhatian
1,3,0,1,14,0,1,0,19,17,94,0,1,74,92,2,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),4.1111,5.6667,67.4,1,Sebagian,0.6127,Kritis
1,3,0,1,14,0,1,0,19,17,94,1,1,74,92,2,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),4.1111,5.6667,67.4,1,Sebagian,0.5127,Perhatian
1,3,1,1,14,0,1,0,19,17,94,1,1,74,92,2,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),4.1111,5.6667,67.4,1,Sebagian,0.5127,Perhatian
1,3,0,1,14,0,0,0,19,17,94,2,1,74,92,2,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),4.1111,5.6667,67.4,1,Sebagian,0.4127,Perhatian
1,3,1,1,14,0,0,0,19,17,94,0,1,74,92,2,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),4.1111,5.6667,67.4,1,Sebagian,0.6127,Kritis
1,3,1,1,14,0,2,0,19,17,94,1,1,74,92,2,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),4.1111,5.6667,67.4,1,Sebagian,0.5127,Perhatian
1,2,1,1,16,0,1,2,27,23,98,1,0,65,58,2,Tinggi (20-30 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),2.7083,7.6667,65.2,1,Sebagian,0.5263,Perhatian
1,1,1,1,15,0,1,0,27,23,98,1,1,100,93,2,Tinggi (20-30 jam),Sempurna (>90%),Rendah (1-3),Excellent (>90%),4.1667,7.6667,79.4,1,Sebagian,0.3163,Aman
1,2,0,1,16,0,0,2,27,23,98,1,0,65,58,2,Tinggi (20-30 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),2.7083,7.6667,65.2,1,Sebagian,0.5263,Perhatian
1,1,0,1,15,0,0,0,27,23,98,1,1,100,93,2,Tinggi (20-30 jam),Sempurna (>90%),Rendah (1-3),Excellent (>90%),4.1667,7.6667,79.4,1,Sebagian,0.3163,Aman
1,2,0,1,16,0,2,2,27,23,98,1,0,65,58,2,Tinggi (20-30 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),2.7083,7.6667,65.2,1,Sebagian,0.5263,Perhatian
1,1,0,1,15,0,2,0,27,23,98,1,1,100,93,2,Tinggi (20-30 jam),Sempurna (>90%),Rendah (1-3),Excellent (>90%),4.1667,7.6667,79.4,1,Sebagian,0.3163,Aman
1,2,1,1,16,0,2,2,27,23,98,0,0,65,58,2,Tinggi (20-30 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),2.7083,7.6667,65.2,1,Sebagian,0.6263,Kritis
1,1,1,1,15,0,2,0,27,23,98,0,1,100,93,2,Tinggi (20-30 jam),Sempurna (>90%),Rendah (1-3),Excellent (>90%),4.1667,7.6667,79.4,1,Sebagian,0.4163,Perhatian
1,1,0,0,5,0,2,1,18,17,80,1,1,68,73,2,Sedang (10-20 jam),Baik (75-90%),Rendah (1-3),Perlu Perhatian (60-75%),3.7778,5.6667,59.4,0,Tidak Siap,0.6362,Kritis
1,3,0,0,3,1,2,2,24,17,80,1,1,64,69,0,Sedang (10-20 jam),Baik (75-90%),,Perlu Perhatian (60-75%),3.5556,17.0,57.8,1,Sebagian,0.5102,Perhatian
1,0,0,0,18,1,2,0,23,17,80,1,1,68,87,1,Sedang (10-20 jam),Baik (75-90%),Rendah (1-3),Perlu Perhatian (60-75%),3.7778,8.5,59.4,1,Sebagian,0.5612,Perhatian
1,0,0,0,4,1,2,0,27,17,80,1,0,64,88,0,Sedang (10-20 jam),Baik (75-90%),,Perlu Perhatian (60-75%),3.5556,17.0,57.6,1,Sebagian,0.5102,Perhatian
1,1,0,0,0,1,2,1,29,17,80,1,1,73,78,0,Sedang (10-20 jam),Baik (75-90%),,Perlu Perhatian (60-75%),4.0556,17.0,61.4,1,Sebagian,0.4562,Perhatian
1,1,0,1,5,0,1,1,18,17,80,1,1,68,73,2,Sedang (10-20 jam),Baik (75-90%),Rendah (1-3),Perlu Perhatian (60-75%),3.7778,5.6667,59.4,1,Sebagian,0.6362,Kritis
1,3,0,1,3,1,1,2,24,17,80,1,1,64,69,0,Sedang (10-20 jam),Baik (75-90%),,Perlu Perhatian (60-75%),3.5556,17.0,57.8,2,Siap Digital,0.5102,Perhatian
1,0,0,1,18,1,1,0,23,17,80,1,1,68,87,1,Sedang (10-20 jam),Baik (75-90%),Rendah (1-3),Perlu Perhatian (60-75%),3.7778,8.5,59.4,2,Siap Digital,0.5612,Perhatian
1,0,0,1,4,1,1,0,27,17,80,1,0,64,88,0,Sedang (10-20 jam),Baik (75-90%),,Perlu Perhatian (60-75%),3.5556,17.0,57.6,2,Siap Digital,0.5102,Perhatian
1,1,0,1,0,1,1,1,29,17,80,1,1,73,78,0,Sedang (10-20 jam),Baik (75-90%),,Perlu Perhatian (60-75%),4.0556,17.0,61.4,2,Siap Digital,0.4562,Perhatian
1,1,0,1,5,0,2,1,18,17,80,1,1,68,73,2,Sedang (10-20 jam),Baik (75-90%),Rendah (1-3),Perlu Perhatian (60-75%),3.7778,5.6667,59.4,1,Sebagian,0.6362,Kritis
1,3,0,1,3,1,2,2,24,17,80,1,1,64,69,0,Sedang (10-20 jam),Baik (75-90%),,Perlu Perhatian (60-75%),3.5556,17.0,57.8,2,Siap Digital,0.5102,Perhatian
1,0,0,1,18,1,2,0,23,17,80,1,1,68,87,1,Sedang (10-20 jam),Baik (75-90%),Rendah (1-3),Perlu Perhatian (60-75%),3.7778,8.5,59.4,2,Siap Digital,0.5612,Perhatian
1,0,0,1,4,1,2,0,27,17,80,1,0,64,88,0,Sedang (10-20 jam),Baik (75-90%),,Perlu Perhatian (60-75%),3.5556,17.0,57.6,2,Siap Digital,0.5102,Perhatian
1,1,0,1,0,1,2,1,29,17,80,1,1,73,78,0,Sedang (10-20 jam),Baik (75-90%),,Perlu Perhatian (60-75%),4.0556,17.0,61.4,2,Siap Digital,0.4562,Perhatian
1,1,1,1,20,1,2,0,27,17,97,0,0,64,87,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.5556,8.5,64.4,2,Siap Digital,0.579,Perhatian
1,2,1,1,13,1,2,1,25,17,97,0,1,70,82,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.8889,8.5,67.0,2,Siap Digital,0.543,Perhatian
1,1,0,1,20,1,1,0,27,17,97,1,0,64,87,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.5556,8.5,64.4,2,Siap Digital,0.479,Perhatian
1,2,0,1,13,1,1,1,25,17,97,1,1,70,82,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.8889,8.5,67.0,2,Siap Digital,0.443,Perhatian
1,1,0,1,20,1,2,0,27,17,97,2,0,64,87,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.5556,8.5,64.4,2,Siap Digital,0.379,Perhatian
1,2,0,1,13,1,2,1,25,17,97,2,1,70,82,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.8889,8.5,67.0,2,Siap Digital,0.343,Perhatian
1,1,1,0,20,1,2,0,27,17,97,1,0,64,87,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.5556,8.5,64.4,1,Sebagian,0.479,Perhatian
1,2,1,0,13,1,2,1,25,17,97,1,1,70,82,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.8889,8.5,67.0,1,Sebagian,0.443,Perhatian
1,1,0,1,20,1,2,0,27,17,97,1,0,64,87,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.5556,8.5,64.4,2,Siap Digital,0.479,Perhatian
1,2,0,1,13,1,2,1,25,17,97,1,1,70,82,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.8889,8.5,67.0,2,Siap Digital,0.443,Perhatian
1,1,1,1,20,1,0,0,27,17,97,1,0,64,87,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.5556,8.5,64.4,2,Siap Digital,0.479,Perhatian
1,2,1,1,13,1,0,1,25,17,97,1,1,70,82,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.8889,8.5,67.0,2,Siap Digital,0.443,Perhatian
1,1,1,1,20,1,1,0,27,17,97,1,0,64,87,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.5556,8.5,64.4,2,Siap Digital,0.479,Perhatian
1,2,1,1,13,1,1,1,25,17,97,1,1,70,82,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.8889,8.5,67.0,2,Siap Digital,0.443,Perhatian
1,1,0,0,20,1,0,0,27,17,97,2,0,64,87,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.5556,8.5,64.4,1,Sebagian,0.379,Perhatian
1,2,0,0,13,1,0,1,25,17,97,2,1,70,82,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.8889,8.5,67.0,1,Sebagian,0.343,Perhatian
1,1,1,1,20,1,1,0,27,17,97,0,0,64,87,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.5556,8.5,64.4,2,Siap Digital,0.579,Perhatian
1,2,1,1,13,1,1,1,25,17,97,0,1,70,82,1,Sedang (10-20 jam),Sempurna (>90%),Rendah (1-3),Perlu Perhatian (60-75%),3.8889,8.5,67.0,2,Siap Digital,0.543,Perhatian
1,2,1,1,1,0,1,0,27,21,83,0,0,66,86,1,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Perlu Perhatian (60-75%),3.0,10.5,59.6,1,Sebagian,0.6442,Kritis
1,0,1,1,18,1,1,0,27,21,83,0,1,77,96,1,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Cukup Baik (75-90%),3.5,10.5,64.2,2,Siap Digital,0.5782,Perhatian
1,2,1,1,1,0,1,0,27,21,83,2,0,66,86,1,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Perlu Perhatian (60-75%),3.0,10.5,59.6,1,Sebagian,0.4442,Perhatian
1,0,1,1,18,1,1,0,27,21,83,2,1,77,96,1,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Cukup Baik (75-90%),3.5,10.5,64.2,2,Siap Digital,0.3782,Perhatian
1,2,0,1,1,0,0,0,27,21,83,0,0,66,86,1,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Perlu Perhatian (60-75%),3.0,10.5,59.6,1,Sebagian,0.6442,Kritis
1,0,0,1,18,1,0,0,27,21,83,0,1,77,96,1,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Cukup Baik (75-90%),3.5,10.5,64.2,2,Siap Digital,0.5782,Perhatian
1,2,1,1,1,0,0,0,27,21,83,0,0,66,86,1,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Perlu Perhatian (60-75%),3.0,10.5,59.6,1,Sebagian,0.6442,Kritis
1,0,1,1,18,1,0,0,27,21,83,0,1,77,96,1,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Cukup Baik (75-90%),3.5,10.5,64.2,2,Siap Digital,0.5782,Perhatian
1,2,1,1,1,0,2,0,27,21,83,2,0,66,86,1,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Perlu Perhatian (60-75%),3.0,10.5,59.6,1,Sebagian,0.4442,Perhatian
1,0,1,1,18,1,2,0,27,21,83,2,1,77,96,1,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Cukup Baik (75-90%),3.5,10.5,64.2,2,Siap Digital,0.3782,Perhatian
1,2,0,1,1,0,2,0,27,21,83,1,0,66,86,1,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Perlu Perhatian (60-75%),3.0,10.5,59.6,1,Sebagian,0.5442,Perhatian
1,0,0,1,18,1,2,0,27,21,83,1,1,77,96,1,Tinggi (20-30 jam),Baik (75-90%),Rendah (1-3),Cukup Baik (75-90%),3.5,10.5,64.2,2,Siap Digital,0.4782,Perhatian
1,3,1,1,9,1,1,3,18,9,82,1,0,55,40,2,Rendah (<10 jam),Baik (75-90%),Rendah (1-3),Risiko Tinggi (<60%),5.5,3.0,54.8,2,Siap Digital,0.7222,Kritis
1,3,1,1,5,1,1,3,25,9,82,1,0,73,46,2,Rendah (<10 jam),Baik (75-90%),Rendah (1-3),Perlu Perhatian (60-75%),7.3,3.0,62.0,2,Siap Digital,0.6142,Kritis
1,2,1,1,16,1,2,2,27,10,78,1,0,71,68,2,Rendah (<10 jam),Baik (75-90%),Rendah (1-3),Perlu Perhatian (60-75%),6.4545,3.3333,59.6,2,Siap Digital,0.6487,Kritis
1,3,1,1,9,1,2,1,20,10,78,1,0,85,78,2,Rendah (<10 jam),Baik (75-90%),Rendah (1-3),Cukup Baik (75-90%),7.7273,3.3333,65.2,2,Siap Digital,0.5647,Perhatian
0,3,0,1,0,1,1,3,19,17,68,1,1,75,42,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Perlu Perhatian (60-75%),4.1667,8.5,57.4,2,Siap Digital,0.5942,Perhatian
0,2,0,1,15,1,1,2,24,17,68,1,1,87,64,2,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Cukup Baik (75-90%),4.8333,5.6667,62.2,2,Siap Digital,0.5972,Perhatian
0,3,0,1,11,1,1,3,20,17,68,1,1,88,49,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Cukup Baik (75-90%),4.8889,8.5,62.6,2,Siap Digital,0.5162,Perhatian
0,3,1,1,0,1,1,3,19,17,68,1,1,75,42,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Perlu Perhatian (60-75%),4.1667,8.5,57.4,2,Siap Digital,0.5942,Perhatian
0,2,1,1,15,1,1,2,24,17,68,1,1,87,64,2,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Cukup Baik (75-90%),4.8333,5.6667,62.2,2,Siap Digital,0.5972,Perhatian
0,3,1,1,11,1,1,3,20,17,68,1,1,88,49,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Cukup Baik (75-90%),4.8889,8.5,62.6,2,Siap Digital,0.5162,Perhatian
0,3,0,1,0,1,1,3,19,17,68,2,1,75,42,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Perlu Perhatian (60-75%),4.1667,8.5,57.4,2,Siap Digital,0.4942,Perhatian
0,2,0,1,15,1,1,2,24,17,68,2,1,87,64,2,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Cukup Baik (75-90%),4.8333,5.6667,62.2,2,Siap Digital,0.4972,Perhatian
0,3,0,1,11,1,1,3,20,17,68,2,1,88,49,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Cukup Baik (75-90%),4.8889,8.5,62.6,2,Siap Digital,0.4162,Perhatian
0,3,1,1,0,1,2,3,19,17,68,1,1,75,42,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Perlu Perhatian (60-75%),4.1667,8.5,57.4,2,Siap Digital,0.5942,Perhatian
0,2,1,1,15,1,2,2,24,17,68,1,1,87,64,2,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Cukup Baik (75-90%),4.8333,5.6667,62.2,2,Siap Digital,0.5972,Perhatian
0,3,1,1,11,1,2,3,20,17,68,1,1,88,49,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Cukup Baik (75-90%),4.8889,8.5,62.6,2,Siap Digital,0.5162,Perhatian
